family,sample,contig_name,contig_length,read_count,identity,sci_name,sampletype,ska_species,collected_by,idseq_nonhost_reads,nonhost_reads,total_reads,read_prop,domestication_status,RPM,sample_size_Ebonyi,sample_size_Ondo,sample_size_total,Feeding
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_47_length_1747_cov_2.508982,1747,135,98.4,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,1.24E-05,domesticated,12.4,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_92_length_1332_cov_2.062948,1332,60,99.4,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,5.49E-06,domesticated,5.49,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_94_length_1310_cov_1.879968,1310,88,99.6,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,8.05E-06,domesticated,8.05,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_97_length_1266_cov_1.467620,1266,52,100,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,4.76E-06,domesticated,4.76,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_103_length_1226_cov_1.431680,1226,62,99,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,5.67E-06,domesticated,5.67,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_111_length_1183_cov_1.948463,1183,74,97.1,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,6.77E-06,domesticated,6.77,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_113_length_1181_cov_1.843297,1181,64,99.7,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,5.86E-06,domesticated,5.86,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_120_length_1142_cov_2.754930,1142,68,100,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,6.22E-06,domesticated,6.22,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_151_length_1008_cov_2.303974,1008,50,98.5,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,4.57E-06,domesticated,4.57,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_181_length_931_cov_2.469555,931,83,98,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,7.59E-06,domesticated,7.59,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_185_length_926_cov_3.383981,926,98,100,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,8.97E-06,domesticated,8.97,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_189_length_909_cov_2.070913,909,57,97.6,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,5.22E-06,domesticated,5.22,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_312_length_711_cov_1.741325,711,23,98.6,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,2.10E-06,domesticated,2.1,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_658_length_568_cov_2.505092,568,27,97.3,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,2.47E-06,domesticated,2.47,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_1005_length_516_cov_1.469248,516,21,98.8,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,1.92E-06,domesticated,1.92,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_1148_length_502_cov_2.611765,502,28,100,Human adenovirus 12,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,2.56E-06,domesticated,2.56,24,22,46,Herbivore
Adenoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_1040_length_512_cov_3.310345,512,46,98.6,Human adenovirus 76,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,4.21E-06,domesticated,4.21,24,22,46,Herbivore
Astroviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_29_length_2169_cov_11.483748,2169,722,99.8,Human astrovirus,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,6.61E-05,domesticated,66.1,24,22,46,Herbivore
Astroviridae,SENONOWGOT014_OS_S75_673628,SENONOWGOT014_OS_S75_673628_NODE_364_length_753_cov_1.270710,753,22,96.3,Human astrovirus 1,Non-tissue,Goat,Ondo,17223238,16714149,26864012,1.32E-06,domesticated,1.32,24,22,46,Herbivore
Astroviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_448_length_632_cov_7.127928,632,101,96.8,Human astrovirus MLB3,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,9.24E-06,domesticated,9.24,24,22,46,Herbivore
Orthoherpesviridae,AIAMA_GOT006_RS_S44_673460,AIAMA_GOT006_RS_S44_673460_NODE_684_length_679_cov_8.702658,679,181,98.3,human gammaherpesvirus 4,Non-tissue,Goat,Ebonyi,15703566,15283057,28332350,1.18E-05,domesticated,11.8,24,22,46,Herbivore
Orthoherpesviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_831_length_656_cov_6.666667,656,154,98.3,human gammaherpesvirus 4,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,2.15E-05,domesticated,21.5,24,22,46,Herbivore
Orthoherpesviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_588_length_585_cov_19.659449,585,247,96.5,human gammaherpesvirus 4,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,2.26E-05,domesticated,22.6,24,22,46,Herbivore
Picornaviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_2_length_7182_cov_27.368473,7182,6537,99.7,Human hepatitis A virus,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,0.00059809,domesticated,598.09,24,22,46,Herbivore
Picornaviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_500_length_615_cov_0.780669,615,7,98.5,Human parechovirus 2,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,6.40E-07,domesticated,0.64,24,22,46,Herbivore
Picobirnaviridae,SENONOWISUGOT001_RS_S74_673659,SENONOWISUGOT001_RS_S74_673659_NODE_804_length_648_cov_1.837128,648,27,85.6,Human picobirnavirus,Non-tissue,Goat,Ondo,17713900,17376850,27451908,1.55E-06,domesticated,1.55,24,22,46,Herbivore
Picobirnaviridae,SEZONOWGOAT009_S67_2_656740,SEZONOWGOAT009_S67_2_656740_NODE_1736_length_579_cov_3.071713,579,37,87.2,Human picobirnavirus,Non-tissue,Goat,Ondo,26930808,26447825,39970254,1.40E-06,domesticated,1.4,24,22,46,Herbivore
Sedoreoviridae,AIMGLGOAT001_S60_656113,AIMGLGOAT001_S60_656113_NODE_443_length_691_cov_1.845277,691,22,99.5,Human rotavirus A,Non-tissue,Goat,Ebonyi,13923358,13457628,31805480,1.63E-06,domesticated,1.63,24,22,46,Herbivore
Sedoreoviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_978_length_519_cov_2.183258,519,20,100,Human rotavirus A,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,1.83E-06,domesticated,1.83,24,22,46,Herbivore
Coronaviridae,SEZONOWIFGOT007_RS_S70_673666,SEZONOWIFGOT007_RS_S70_673666_NODE_2429_length_544_cov_2.464668,544,23,97.6,Infectious bronchitis virus,Non-tissue,Goat,Ondo,12681336,12252143,26712916,1.88E-06,domesticated,1.88,24,22,46,Herbivore
Coronaviridae,SEZONOWIFGOAT007_S68_657731,SEZONOWIFGOAT007_S68_657731_NODE_1248_length_522_cov_0.716854,522,5,97.4,Infectious bronchitis virus,Non-tissue,Goat,Ondo,23607678,22934343,60592620,2.18E-07,domesticated,0.218,24,22,46,Herbivore
Coronaviridae,SEZONOWIFGOAT007_S68_657731,SEZONOWIFGOAT007_S68_657731_NODE_1320_length_512_cov_1.452874,512,12,96.6,Infectious bronchitis virus,Non-tissue,Goat,Ondo,23607678,22934343,60592620,5.23E-07,domesticated,0.523,24,22,46,Herbivore
Coronaviridae,SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_709_length_505_cov_836.997664,505,3880,98.9,Infectious bronchitis virus,Non-tissue,Goat,Ondo,21656736,21339973,42621040,0.000181818,domesticated,181.818,24,22,46,Herbivore
Picornaviridae,SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_177_length_1031_cov_1.799790,1031,28,58.4,Jingmen bat picorna-like virus 1,Non-tissue,Goat,Ondo,21656736,21339973,42621040,1.31E-06,domesticated,1.31,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT001_RS_S74_673659,SENONOWISUGOT001_RS_S74_673659_NODE_63_length_2089_cov_1.886680,2089,80,38.1,Jingmen picorna-like virus,Non-tissue,Goat,Ondo,17713900,17376850,27451908,4.60E-06,domesticated,4.6,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_168_length_1046_cov_1.780186,1046,53,96,Kobuvirus sp.,Non-tissue,Goat,Ondo,17869036,17477288,33879770,3.03E-06,domesticated,3.03,24,22,46,Herbivore
Astroviridae,SENONOWGOT014_OS_S75_673628,SENONOWGOT014_OS_S75_673628_NODE_341_length_782_cov_1.476596,782,19,99.5,Mamastrovirus 1,Non-tissue,Goat,Ondo,17223238,16714149,26864012,1.14E-06,domesticated,1.14,24,22,46,Herbivore
Astroviridae,SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_211_length_935_cov_1.723776,935,29,98.1,Mamastrovirus 13,Non-tissue,Goat,Ondo,21656736,21339973,42621040,1.36E-06,domesticated,1.36,24,22,46,Herbivore
Picobirnaviridae,AIMGL_GOT003_OS_S65_673468,AIMGL_GOT003_OS_S65_673468_NODE_78_length_2292_cov_10.087133,2292,464,42.6,Marmot picobirnavirus,Non-tissue,Goat,Ebonyi,13803226,13549408,24547164,3.42E-05,domesticated,34.2,24,22,46,Herbivore
Picobirnaviridae,SENONOWISUGOT001_RS_S74_673659,SENONOWISUGOT001_RS_S74_673659_NODE_57_length_2229_cov_7.523699,2229,307,40.7,Marmot picobirnavirus,Non-tissue,Goat,Ondo,17713900,17376850,27451908,1.77E-05,domesticated,17.7,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_347_length_730_cov_1.053599,730,15,99.6,megrivirus C1,Non-tissue,Goat,Ondo,32322646,32085224,57339964,4.68E-07,domesticated,0.468,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_356_length_686_cov_4.497537,686,43,97.4,megrivirus C2,Non-tissue,Goat,Ondo,17869036,17477288,33879770,2.46E-06,domesticated,2.46,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT001_RS_S74_673659,SENONOWISUGOT001_RS_S74_673659_NODE_1271_length_538_cov_1.321041,538,14,91.5,megrivirus C2,Non-tissue,Goat,Ondo,17713900,17376850,27451908,8.06E-07,domesticated,0.806,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT001_OS_S80_673658,SENONOWISUGOT001_OS_S80_673658_NODE_4_length_4884_cov_32.085916,4884,4035,98.9,Megrivirus sp.,Non-tissue,Goat,Ondo,19978172,19675913,37801652,0.000205073,domesticated,205.073,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_11_length_4763_cov_8.135297,4763,905,99,Megrivirus sp.,Non-tissue,Goat,Ondo,32322646,32085224,57339964,2.82E-05,domesticated,28.2,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_19_length_3060_cov_18.653034,3060,1369,99.3,Megrivirus sp.,Non-tissue,Goat,Ondo,17869036,17477288,33879770,7.83E-05,domesticated,78.3,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_60_length_1996_cov_8.738405,1996,387,97.3,Megrivirus sp.,Non-tissue,Goat,Ondo,17869036,17477288,33879770,2.21E-05,domesticated,22.1,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT005_RS_S71_673662,SENONOWISUGOT005_RS_S71_673662_NODE_175_length_999_cov_2.260304,999,39,93.3,Megrivirus sp.,Non-tissue,Goat,Ondo,17869036,17477288,33879770,2.23E-06,domesticated,2.23,24,22,46,Herbivore
Picornaviridae,SENONOWISUGOT001_RS_S74_673659,SENONOWISUGOT001_RS_S74_673659_NODE_453_length_876_cov_1.623279,876,23,99.6,Megrivirus sp.,Non-tissue,Goat,Ondo,17713900,17376850,27451908,1.32E-06,domesticated,1.32,24,22,46,Herbivore
Polyomaviridae,SENONOWOGGOT017_OS_S72_673665,SENONOWOGGOT017_OS_S72_673665_NODE_22_length_1918_cov_2.267789,1918,111,97.6,Merkel cell polyomavirus,Non-tissue,Goat,Ondo,19799804,19314364,36316084,5.75E-06,domesticated,5.75,24,22,46,Herbivore
Polyomaviridae,SENONOWOGGOT017_OS_S72_673665,SENONOWOGGOT017_OS_S72_673665_NODE_131_length_867_cov_4.210127,867,96,99.5,Merkel cell polyomavirus,Non-tissue,Goat,Ondo,19799804,19314364,36316084,4.97E-06,domesticated,4.97,24,22,46,Herbivore
Polyomaviridae,SENONOWOGGOT017_OS_S72_673665,SENONOWOGGOT017_OS_S72_673665_NODE_402_length_610_cov_1.634146,610,16,98.5,Merkel cell polyomavirus,Non-tissue,Goat,Ondo,19799804,19314364,36316084,8.28E-07,domesticated,0.828,24,22,46,Herbivore
Picornaviridae,SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_363_length_665_cov_1.302721,665,10,86.4,Monexpicovirus 1,Non-tissue,Goat,Ondo,21656736,21339973,42621040,4.69E-07,domesticated,0.469,24,22,46,Herbivore
Picornaviridae,SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_251_length_840_cov_1.298820,840,16,75,Monexpicovirus 2,Non-tissue,Goat,Ondo,21656736,21339973,42621040,7.50E-07,domesticated,0.75,24,22,46,Herbivore
Picornaviridae,SENONOWGOT003_RS_S79_673627,SENONOWGOT003_RS_S79_673627_NODE_533_length_553_cov_1.186975,553,9,80.5,Monexpicovirus 2,Non-tissue,Goat,Ondo,21656736,21339973,42621040,4.22E-07,domesticated,0.422,24,22,46,Herbivore
Picobirnaviridae,SENONOWISUGOT004_RS_S77_673661,SENONOWISUGOT004_RS_S77_673661_NODE_66_length_1707_cov_54.759509,1707,1868,79.6,Mongoose picobirnavirus,Non-tissue,Goat,Ondo,32322646,32085224,57339964,5.82E-05,domesticated,58.2,24,22,46,Herbivore
Picobirnaviridae,AIMGLGOAT002_S61_656114,AIMGLGOAT002_S61_656114_NODE_536_length_633_cov_7.586331,633,108,76.9,nabpantry virus 10,Non-tissue,Goat,Ebonyi,24773016,24302004,41694368,4.44E-06,domesticated,4.44,24,22,46,Herbivore
Anelloviridae,AIAMA_GOT005_OS_S43_673459,AIAMA_GOT005_OS_S43_673459_NODE_849_length_534_cov_3.363239,534,44,97.1,Nayun tick torquevirus,Non-tissue,Goat,Ebonyi,11109452,10929793,24738340,4.03E-06,domesticated,4.03,24,22,46,Herbivore
Caliciviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_570_length_773_cov_1.576149,773,29,98.1,Norovirus GII,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,4.05E-06,domesticated,4.05,24,22,46,Herbivore
Caliciviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_1120_length_578_cov_1.800399,578,36,99.5,Norovirus GII,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,5.02E-06,domesticated,5.02,24,22,46,Herbivore
Caliciviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_1318_length_542_cov_1.225806,542,30,87,Norovirus GII,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,4.19E-06,domesticated,4.19,24,22,46,Herbivore
Caliciviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_1483_length_515_cov_2.474886,515,42,78.1,Norovirus GII,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,5.86E-06,domesticated,5.86,24,22,46,Herbivore
Caliciviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_1509_length_511_cov_1.262673,511,43,94.3,Norovirus GII,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,6.00E-06,domesticated,6,24,22,46,Herbivore
Caliciviridae,AIAMA_GOT007_OS_S45_673461,AIAMA_GOT007_OS_S45_673461_NODE_1603_length_500_cov_1.451537,500,26,92.3,Norovirus GII,Non-tissue,Goat,Ebonyi,7636210,7165682,36130298,3.63E-06,domesticated,3.63,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_7_length_6882_cov_5.176341,6882,1016,99.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,4.82E-05,domesticated,48.2,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_7_length_6882_cov_5.176341,6882,1016,99.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,4.82E-05,domesticated,48.2,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_7_length_6882_cov_5.176341,6882,1016,99.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,4.82E-05,domesticated,48.2,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_8_length_5969_cov_3.834861,5969,611,97.5,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.90E-05,domesticated,29,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_11_length_5360_cov_4.387848,5360,642,98.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,3.05E-05,domesticated,30.5,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_11_length_5360_cov_4.387848,5360,642,98.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,3.05E-05,domesticated,30.5,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_13_length_4761_cov_4.634714,4761,590,99.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.80E-05,domesticated,28,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_13_length_4761_cov_4.634714,4761,590,99.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.80E-05,domesticated,28,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_15_length_4337_cov_4.692958,4337,628,98.5,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.98E-05,domesticated,29.8,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_16_length_4224_cov_3.865927,4224,448,99.2,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.13E-05,domesticated,21.3,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_17_length_4140_cov_4.306424,4140,518,100,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.46E-05,domesticated,24.6,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_18_length_4129_cov_4.546397,4129,629,98.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.99E-05,domesticated,29.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_18_length_4129_cov_4.546397,4129,629,98.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.99E-05,domesticated,29.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_18_length_4129_cov_4.546397,4129,629,98.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.99E-05,domesticated,29.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_18_length_4129_cov_4.546397,4129,629,98.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.99E-05,domesticated,29.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_18_length_4129_cov_4.546397,4129,629,98.7,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.99E-05,domesticated,29.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_19_length_4023_cov_4.489356,4023,472,99.4,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.24E-05,domesticated,22.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_19_length_4023_cov_4.489356,4023,472,99.4,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,2.24E-05,domesticated,22.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_27_length_3408_cov_3.705494,3408,360,99.5,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.71E-05,domesticated,17.1,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_28_length_3347_cov_3.915291,3347,372,98.5,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.77E-05,domesticated,17.7,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_30_length_3338_cov_4.236124,3338,404,99,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.92E-05,domesticated,19.2,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_33_length_3130_cov_4.047822,3130,374,99.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.78E-05,domesticated,17.8,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_33_length_3130_cov_4.047822,3130,374,99.8,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.78E-05,domesticated,17.8,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_34_length_3077_cov_3.772333,3077,283,98.1,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.34E-05,domesticated,13.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_34_length_3077_cov_3.772333,3077,283,98.1,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.34E-05,domesticated,13.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_34_length_3077_cov_3.772333,3077,283,98.1,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.34E-05,domesticated,13.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_34_length_3077_cov_3.772333,3077,283,98.1,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.34E-05,domesticated,13.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_34_length_3077_cov_3.772333,3077,283,98.1,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.34E-05,domesticated,13.4,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_36_length_2867_cov_3.450538,2867,292,99.2,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.39E-05,domesticated,13.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_36_length_2867_cov_3.450538,2867,292,99.2,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.39E-05,domesticated,13.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_36_length_2867_cov_3.450538,2867,292,99.2,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.39E-05,domesticated,13.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_36_length_2867_cov_3.450538,2867,292,99.2,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.39E-05,domesticated,13.9,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_39_length_2762_cov_3.320670,2762,249,99.4,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.18E-05,domesticated,11.8,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_39_length_2762_cov_3.320670,2762,249,99.4,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.18E-05,domesticated,11.8,24,22,46,Herbivore
Poxviridae,AIAMAGOAT001_S48_656109,AIAMAGOAT001_S48_656109_NODE_39_length_2762_cov_3.320670,2762,249,99.4,Orf virus,Non-tissue,Goat,Ebonyi,21562762,21067086,33292250,1.18E-05,domesticated,11.8,24,22,46,Herbivore
